branch_id,month,region,sales_jpy,price_change_flag,income_band,avg_temp_c,foot_traffic,manager_tenure_months
BR_2696,2024-04,West,4555682,1,Mid,22.2,9527,69
BR_2696,2025-04,North,4742112,1,Mid,12.5,11236,101
BR_2697,2024-04,East,4567225,0,High,23.3,15381,47
BR_2697,2025-04,South,4543636,0,High,18.6,12866,72
BR_2698,2024-04,North,4765850,1,Mid,23.1,17698,62
BR_2698,2025-04,West,4952481,1,Mid,26.7,14925,48
BR_2699,2024-04,North,5179470,1,Low,29.2,12342,65
BR_2699,2025-04,East,3717699,1,Low,14.4,10539,42
BR_2700,2024-04,South,5160964,1,Low,29.8,14191,112
BR_2700,2025-04,South,4221890,1,Low,22.9,17777,9
BR_2701,2024-04,North,4852337,0,Mid,21.3,16267,22
BR_2701,2025-04,West,4955662,0,Mid,18.9,9826,28
BR_2702,2024-04,East,4635656,1,Mid,19.4,16977,75
BR_2702,2025-04,West,5059597,1,Mid,13.8,17055,63
BR_2703,2024-04,South,4562232,0,Mid,18.9,15434,98
BR_2703,2025-04,East,4952666,0,Mid,18.6,11266,51
BR_2704,2024-04,West,4758192,1,High,17.9,12052,49
BR_2704,2025-04,West,4588989,1,High,10.5,11837,90
BR_2705,2024-04,North,4703667,0,Mid,21.0,13284,31
BR_2705,2025-04,East,5040864,0,Mid,22.7,10742,110
BR_2706,2024-04,North,4576821,0,High,25.6,15112,61
BR_2706,2025-04,East,4778495,0,High,18.5,15000,63
BR_2707,2024-04,South,4908367,1,Low,16.4,16366,22
BR_2707,2025-04,South,4255994,1,Low,23.2,12729,65
BR_2708,2024-04,West,4764189,1,High,25.6,13240,21
BR_2708,2025-04,South,4594065,1,High,14.1,15450,117
BR_2709,2024-04,South,4989364,1,Mid,29.4,11296,61
BR_2709,2025-04,East,4836652,1,Mid,20.2,14860,53
BR_2710,2024-04,West,5122522,1,Mid,13.5,9860,39
BR_2710,2025-04,South,5152156,1,Mid,16.6,12141,107
BR_2711,2024-04,East,4663726,1,Low,24.7,17560,41
BR_2711,2025-04,South,3531096,1,Low,23.8,15072,91
BR_2712,2024-04,South,4981475,0,Low,19.2,10572,78
BR_2712,2025-04,East,5041178,0,Low,13.3,13859,45
BR_2713,2024-04,East,5101021,0,Low,28.3,16457,39
BR_2713,2025-04,East,4750169,0,Low,18.3,14247,79
BR_2714,2024-04,North,4919421,0,Mid,12.4,15003,81
BR_2714,2025-04,South,4879539,0,Mid,24.9,15914,64
BR_2715,2024-04,East,4914753,1,Mid,16.9,16388,97
BR_2715,2025-04,West,4560666,1,Mid,25.0,17403,64
BR_2716,2024-04,South,5121689,1,Mid,22.1,16515,67
BR_2716,2025-04,South,4954111,1,Mid,10.8,11451,34
BR_2717,2024-04,South,4869916,0,Mid,21.7,10480,74
BR_2717,2025-04,North,4697567,0,Mid,20.0,9429,119
BR_2718,2024-04,North,5017928,1,High,16.0,16677,38
BR_2718,2025-04,South,5014145,1,High,14.4,14680,106
BR_2719,2024-04,East,4636048,0,Low,26.4,17620,113
BR_2719,2025-04,West,4668964,0,Low,17.0,17698,71
BR_2720,2024-04,South,5163822,1,Low,21.1,17746,102
BR_2720,2025-04,North,3609645,1,Low,22.7,15431,109
BR_2721,2024-04,East,5061024,0,High,16.4,12447,31
BR_2721,2025-04,East,4664054,0,High,12.9,17388,111
BR_2722,2024-04,East,4789647,1,Mid,29.0,11122,93
BR_2722,2025-04,North,4533569,1,Mid,13.8,11114,29
BR_2723,2024-04,North,4612701,0,Mid,16.4,17456,63
BR_2723,2025-04,West,4934103,0,Mid,10.3,11558,47
BR_2724,2024-04,North,4510102,1,High,27.7,11247,47
BR_2724,2025-04,South,4778289,1,High,27.3,16846,101
BR_2725,2024-04,South,4636264,1,High,10.5,12125,62
BR_2725,2025-04,East,4692147,1,High,13.5,14548,111
BR_2726,2024-04,West,4663897,1,High,21.6,13286,94
BR_2726,2025-04,West,4569565,1,High,24.6,12231,44
BR_2727,2024-04,North,4701536,1,Low,15.1,9210,17
BR_2727,2025-04,East,3329045,1,Low,19.3,12726,76
BR_2728,2024-04,East,5097244,0,Mid,27.0,13316,62
BR_2728,2025-04,West,4529774,0,Mid,10.8,10742,79
BR_2729,2024-04,West,4817635,1,High,19.7,17051,51
BR_2729,2025-04,West,4798230,1,High,19.2,11852,12
BR_2730,2024-04,North,5065120,1,Mid,28.9,16807,54
BR_2730,2025-04,West,5136294,1,Mid,21.5,12844,85
BR_2731,2024-04,North,4861770,0,High,25.5,13017,17
BR_2731,2025-04,West,5064783,0,High,16.7,9439,75
BR_2732,2024-04,East,4954159,1,Low,16.9,13913,46
BR_2732,2025-04,South,4034159,1,Low,17.4,14486,87
BR_2733,2024-04,South,5004129,1,Low,13.5,11183,55
BR_2733,2025-04,South,3933697,1,Low,11.1,11416,35
BR_2734,2024-04,West,4973313,0,Mid,10.7,16341,81
BR_2734,2025-04,East,5039882,0,Mid,28.0,15767,109
BR_2735,2024-04,South,4515606,1,Low,23.3,13855,112
BR_2735,2025-04,North,4228619,1,Low,10.7,15403,82
BR_2736,2024-04,East,4896032,1,Mid,27.3,11420,33
BR_2736,2025-04,North,4775745,1,Mid,19.1,13105,47
BR_2737,2024-04,North,4519961,1,Low,20.1,9382,96
BR_2737,2025-04,East,4076748,1,Low,15.6,12635,56
BR_2738,2024-04,South,5186199,1,Mid,25.9,13741,67
BR_2738,2025-04,East,4952156,1,Mid,24.1,14566,84
BR_2739,2024-04,East,5035195,0,High,17.6,12805,71
BR_2739,2025-04,East,4693439,0,High,24.1,9449,78
BR_2740,2024-04,West,4907632,1,Low,27.4,9631,103
BR_2740,2025-04,West,3511631,1,Low,28.1,11548,111
BR_2741,2024-04,South,4802680,0,Low,14.1,9077,65
BR_2741,2025-04,East,4802322,0,Low,19.1,15135,89
BR_2742,2024-04,South,4829881,1,Low,29.2,9697,98
BR_2742,2025-04,South,3864012,1,Low,23.3,10154,16
BR_2743,2024-04,South,4995768,1,High,10.1,10627,37
BR_2743,2025-04,East,4620996,1,High,16.2,11014,98
BR_2744,2024-04,North,4523290,1,Mid,20.4,9676,19
BR_2744,2025-04,East,4535446,1,Mid,26.5,14065,108
BR_2745,2024-04,West,4862827,1,Mid,13.1,11759,24
BR_2745,2025-04,South,5116588,1,Mid,16.3,11523,106
BR_2746,2024-04,South,4502993,1,High,24.9,16976,76
BR_2746,2025-04,West,5122919,1,High,29.9,9997,98
BR_2747,2024-04,West,4571041,1,Low,28.2,12388,110
BR_2747,2025-04,West,3401311,1,Low,28.9,15442,85
BR_2748,2024-04,South,4781760,0,Mid,16.6,12981,74
BR_2748,2025-04,West,5182938,0,Mid,12.4,13548,24
BR_2749,2024-04,West,5158289,0,High,10.2,12676,63
BR_2749,2025-04,North,4811500,0,High,19.5,14884,83
BR_2750,2024-04,North,4627949,1,Mid,16.3,14225,78
BR_2750,2025-04,East,4650924,1,Mid,11.9,11446,42
BR_2751,2024-04,South,4692940,0,Mid,27.2,15149,34
BR_2751,2025-04,South,5071452,0,Mid,10.9,14701,99
BR_2752,2024-04,West,4892154,1,High,23.0,12443,104
BR_2752,2025-04,East,4869953,1,High,12.1,16893,95
BR_2753,2024-04,North,4628375,1,Low,10.4,11340,56
BR_2753,2025-04,West,3630854,1,Low,27.1,16673,80
BR_2754,2024-04,North,4884595,1,Low,23.1,16945,86
BR_2754,2025-04,East,3593674,1,Low,25.0,17317,107
BR_2755,2024-04,South,4574367,0,Low,17.8,12904,63
BR_2755,2025-04,East,5149223,0,Low,21.4,12783,10
BR_2756,2024-04,West,5079067,1,Low,12.0,14041,83
BR_2756,2025-04,East,3227560,1,Low,24.5,13082,10
BR_2757,2024-04,North,4890058,0,Low,21.0,12933,24
BR_2757,2025-04,West,4729706,0,Low,29.4,12198,19
BR_2758,2024-04,West,5047604,1,Low,24.2,13095,89
BR_2758,2025-04,South,3781548,1,Low,24.4,9460,81
BR_2759,2024-04,East,4667420,1,High,12.2,16893,56
BR_2759,2025-04,East,4672210,1,High,14.1,14582,36
BR_2760,2024-04,North,4812489,1,High,18.4,16177,66
BR_2760,2025-04,South,4684756,1,High,21.2,11628,56
BR_2761,2024-04,East,4581895,1,High,27.3,13868,62
BR_2761,2025-04,East,5037721,1,High,12.3,15883,105
BR_2762,2024-04,North,4760176,0,Low,17.3,17185,89
BR_2762,2025-04,West,5110797,0,Low,17.9,13825,102
BR_2763,2024-04,East,5129773,0,Mid,17.0,12112,117
BR_2763,2025-04,South,4536458,0,Mid,18.4,10626,75
BR_2764,2024-04,East,5186995,1,Mid,20.1,12821,30
BR_2764,2025-04,West,4595764,1,Mid,24.1,9717,41
BR_2765,2024-04,North,4851953,1,Low,18.3,12212,75
BR_2765,2025-04,North,4275516,1,Low,18.4,17437,48
BR_2766,2024-04,South,4928167,1,Mid,14.3,16434,80
BR_2766,2025-04,South,4512723,1,Mid,28.9,15323,119
BR_2767,2024-04,North,5111377,1,High,14.9,17122,113
BR_2767,2025-04,West,5083268,1,High,23.3,15550,82
BR_2768,2024-04,North,5058286,1,High,23.8,17509,36
BR_2768,2025-04,West,5145044,1,High,20.6,14599,24
BR_2769,2024-04,South,5162716,1,Low,12.5,9977,8
BR_2769,2025-04,North,3608921,1,Low,14.0,14692,113
BR_2770,2024-04,East,4887239,0,High,18.5,14774,62
BR_2770,2025-04,East,4517773,0,High,25.1,11809,111
BR_2771,2024-04,South,5168628,0,Low,17.4,13975,65
BR_2771,2025-04,North,4997152,0,Low,26.9,15628,60
BR_2772,2024-04,West,4576020,0,Low,13.3,15444,50
BR_2772,2025-04,North,5197602,0,Low,10.7,14512,55
BR_2773,2024-04,West,4860118,1,Low,10.5,9388,35
BR_2773,2025-04,West,3834322,1,Low,24.3,11733,67
BR_2774,2024-04,East,4514508,0,Low,13.6,11264,12
BR_2774,2025-04,East,4650834,0,Low,23.2,15890,104
BR_2775,2024-04,North,4649692,0,Mid,14.5,15628,84
BR_2775,2025-04,North,5069593,0,Mid,23.2,11220,119
BR_2776,2024-04,South,5087092,0,High,25.9,12382,18
BR_2776,2025-04,South,5010950,0,High,19.9,11419,88
BR_2777,2024-04,North,4833068,1,High,18.6,17335,45
BR_2777,2025-04,South,4622828,1,High,15.2,13403,73
BR_2778,2024-04,South,4544359,0,Low,25.6,13984,107
BR_2778,2025-04,North,5018862,0,Low,12.3,11093,14
BR_2779,2024-04,North,5100093,1,Low,22.2,11715,76
BR_2779,2025-04,West,3543424,1,Low,29.9,12688,7
BR_2780,2024-04,East,4644049,0,Mid,29.2,10925,13
BR_2780,2025-04,South,4608492,0,Mid,19.6,9709,92
BR_2781,2024-04,South,4627697,0,Low,12.2,12351,25
BR_2781,2025-04,East,5032692,0,Low,16.6,15044,38
BR_2782,2024-04,South,4983662,0,Mid,16.0,17837,102
BR_2782,2025-04,South,4912904,0,Mid,28.6,10275,8
BR_2783,2024-04,South,4811849,0,Mid,24.7,14448,16
BR_2783,2025-04,East,4947238,0,Mid,11.3,11366,106
BR_2784,2024-04,East,5137264,0,Low,29.7,11720,23
BR_2784,2025-04,North,4678118,0,Low,19.6,16959,30
BR_2785,2024-04,East,4690179,0,High,28.6,10769,110
BR_2785,2025-04,West,5191785,0,High,25.4,14800,115
BR_2786,2024-04,North,5095915,0,High,14.3,13019,72
BR_2786,2025-04,East,4862612,0,High,20.9,16264,44
BR_2787,2024-04,West,4824445,0,Mid,29.9,13221,104
BR_2787,2025-04,East,4917414,0,Mid,11.4,13965,40
BR_2788,2024-04,North,4573008,0,Low,20.5,14791,105
BR_2788,2025-04,West,4729751,0,Low,11.4,13745,36
BR_2789,2024-04,North,4891916,1,High,29.4,13016,56
BR_2789,2025-04,West,4593086,1,High,25.0,11115,107
BR_2790,2024-04,West,4837273,1,High,21.8,15066,80
BR_2790,2025-04,West,4713224,1,High,11.6,16117,32
BR_2791,2024-04,West,5059428,0,Mid,17.3,17083,108
BR_2791,2025-04,South,5013363,0,Mid,14.0,12291,39
BR_2792,2024-04,East,4888350,1,Low,21.4,11615,52
BR_2792,2025-04,South,3959730,1,Low,13.6,10014,107
BR_2793,2024-04,East,4707003,1,Mid,10.7,11467,116
BR_2793,2025-04,South,4609194,1,Mid,26.9,9148,34
BR_2794,2024-04,South,4595846,1,Low,26.6,10939,21
BR_2794,2025-04,East,4112094,1,Low,12.7,11008,24
BR_2795,2024-04,West,4724761,0,Mid,12.9,10799,64
BR_2795,2025-04,West,4671119,0,Mid,14.9,17771,41
BR_2796,2024-04,East,5002707,0,Low,11.5,13921,17
BR_2796,2025-04,South,4717912,0,Low,13.5,13464,104
BR_2797,2024-04,North,4783689,0,Low,29.2,13368,34
BR_2797,2025-04,North,4547503,0,Low,17.9,10001,32
BR_2798,2024-04,North,5084146,1,Low,23.4,14459,119
BR_2798,2025-04,West,3426343,1,Low,24.3,13693,86
BR_2799,2024-04,North,4790127,0,Low,24.8,16799,102
BR_2799,2025-04,West,4731134,0,Low,17.0,10419,83
BR_2800,2024-04,West,5192357,1,High,19.2,12818,113
BR_2800,2025-04,South,4549245,1,High,15.0,15007,80
BR_2801,2024-04,South,4999635,0,High,18.4,14486,95
BR_2801,2025-04,East,4811317,0,High,27.3,12144,82
BR_2802,2024-04,East,4735462,1,Low,12.9,14506,39
BR_2802,2025-04,West,3448929,1,Low,22.2,14528,69
BR_2803,2024-04,North,5001773,1,High,12.9,17033,38
BR_2803,2025-04,North,4682407,1,High,13.5,15491,68
BR_2804,2024-04,East,4527800,0,Mid,29.8,15758,47
BR_2804,2025-04,West,5193628,0,Mid,26.6,10246,12
BR_2805,2024-04,West,4599908,0,Mid,23.4,13824,76
BR_2805,2025-04,South,4522257,0,Mid,22.8,10864,32
BR_2806,2024-04,East,4970320,1,High,18.7,14590,6
BR_2806,2025-04,West,4515525,1,High,24.1,10729,58
BR_2807,2024-04,West,4928036,1,Low,13.0,11156,47
BR_2807,2025-04,North,3721071,1,Low,29.1,11020,98
BR_2808,2024-04,South,4927948,0,Low,27.4,13331,28
BR_2808,2025-04,East,4767840,0,Low,19.6,10642,103
BR_2809,2024-04,West,4702786,0,High,19.3,9862,16
BR_2809,2025-04,East,4901338,0,High,28.1,10476,27
BR_2810,2024-04,South,5019702,1,Mid,12.1,10226,68
BR_2810,2025-04,North,5126968,1,Mid,28.3,17097,78
BR_2811,2024-04,South,4843842,1,Mid,23.4,10668,64
BR_2811,2025-04,West,5022277,1,Mid,23.1,16311,56
BR_2812,2024-04,West,4867342,0,Mid,18.1,11768,78
BR_2812,2025-04,South,4932462,0,Mid,23.0,10109,7
BR_2813,2024-04,West,5042626,1,Low,21.3,17852,52
BR_2813,2025-04,North,4028371,1,Low,23.1,14000,91
BR_2814,2024-04,South,4895354,0,Mid,18.4,11440,36
BR_2814,2025-04,West,4613097,0,Mid,23.3,14505,68
BR_2815,2024-04,East,5040746,1,Low,22.8,16146,14
BR_2815,2025-04,North,3815130,1,Low,19.5,11255,115
BR_2816,2024-04,West,4927176,0,High,14.7,16283,18
BR_2816,2025-04,East,4861894,0,High,25.1,14059,16
BR_2817,2024-04,West,4800454,0,Low,13.2,9727,67
BR_2817,2025-04,South,4898947,0,Low,29.5,10315,16
BR_2818,2024-04,West,4941496,1,Low,26.4,16091,23
BR_2818,2025-04,West,4038090,1,Low,13.1,15566,32
BR_2819,2024-04,South,4861456,1,Low,21.1,17747,54
BR_2819,2025-04,West,3815659,1,Low,10.0,9463,71
BR_2820,2024-04,North,5137402,0,Low,25.4,13549,101
BR_2820,2025-04,West,4925375,0,Low,10.4,15446,38
BR_2821,2024-04,South,4652984,0,Mid,15.0,12371,7
BR_2821,2025-04,South,5167031,0,Mid,13.2,9520,44
BR_2822,2024-04,East,4841374,1,High,14.4,12176,87
BR_2822,2025-04,East,4790479,1,High,21.7,14695,110
BR_2823,2024-04,East,4793423,0,Mid,23.7,9129,120
BR_2823,2025-04,East,4855362,0,Mid,29.6,10113,47
BR_2824,2024-04,East,5176447,0,Mid,28.4,14861,108
BR_2824,2025-04,North,4915967,0,Mid,13.5,13377,64
BR_2825,2024-04,North,5030426,0,Mid,24.2,11197,37
BR_2825,2025-04,West,4515379,0,Mid,23.9,15583,45
BR_2826,2024-04,West,4646302,0,Mid,11.0,9951,18
BR_2826,2025-04,East,4580515,0,Mid,26.8,12319,78
BR_2827,2024-04,South,5075453,0,Low,15.2,12761,27
BR_2827,2025-04,North,4967344,0,Low,18.6,9673,6
BR_2828,2024-04,East,5084826,1,High,18.9,17265,114
BR_2828,2025-04,South,4894571,1,High,22.7,17342,92
BR_2829,2024-04,North,4681178,0,Low,25.8,14587,109
BR_2829,2025-04,North,4996632,0,Low,16.5,12813,58
BR_2830,2024-04,South,4610368,1,Low,15.2,16188,44
BR_2830,2025-04,East,3635342,1,Low,22.5,11696,21
BR_2831,2024-04,South,4532551,0,Low,22.1,10395,47
BR_2831,2025-04,South,4540532,0,Low,29.9,16607,70
BR_2832,2024-04,South,5044771,0,Low,23.9,15816,61
BR_2832,2025-04,South,4666632,0,Low,19.3,9070,39
BR_2833,2024-04,North,4569839,1,Low,23.1,13330,58
BR_2833,2025-04,North,3421201,1,Low,29.6,13723,100
BR_2834,2024-04,South,4568574,0,Mid,14.6,10516,73
BR_2834,2025-04,East,4580390,0,Mid,12.4,10043,104
BR_2835,2024-04,West,4994057,0,High,22.0,13747,114
BR_2835,2025-04,South,4519960,0,High,20.0,16177,40
BR_2836,2024-04,North,4715814,1,Mid,26.5,14252,49
BR_2836,2025-04,West,4662818,1,Mid,20.0,12884,102
BR_2837,2024-04,South,4940361,1,Mid,14.8,10746,82
BR_2837,2025-04,South,4706711,1,Mid,22.0,9178,14
BR_2838,2024-04,West,4812173,0,Mid,18.6,14862,95
BR_2838,2025-04,West,4548975,0,Mid,26.2,11022,71
BR_2839,2024-04,East,4817084,1,Low,28.0,11930,61
BR_2839,2025-04,South,3628231,1,Low,10.4,16491,99
BR_2840,2024-04,North,4866644,1,Low,21.4,16380,71
BR_2840,2025-04,North,3698140,1,Low,12.5,16313,18
BR_2841,2024-04,South,4576707,1,Mid,29.1,14654,39
BR_2841,2025-04,East,4550243,1,Mid,14.0,9821,42
BR_2842,2024-04,West,4513791,0,High,27.6,14809,8
BR_2842,2025-04,West,4640577,0,High,19.5,13808,98
BR_2843,2024-04,North,4840464,0,Mid,10.2,14608,32
BR_2843,2025-04,North,4648379,0,Mid,20.4,13700,41
BR_2844,2024-04,East,4661592,0,Low,21.8,15723,44
BR_2844,2025-04,East,4958466,0,Low,24.9,12770,49
BR_2845,2024-04,West,4926112,0,Low,12.2,13909,85
BR_2845,2025-04,North,4643734,0,Low,22.8,10689,102
BR_2846,2024-04,South,4593583,1,Low,12.7,13586,21
BR_2846,2025-04,East,3524401,1,Low,29.8,14341,48
BR_2847,2024-04,West,5173666,1,Mid,22.7,9794,52
BR_2847,2025-04,North,5038729,1,Mid,14.3,12170,20
BR_2848,2024-04,East,4642929,1,Mid,26.3,11742,9
BR_2848,2025-04,East,5180148,1,Mid,22.7,14009,66
BR_2849,2024-04,East,4549937,1,Low,26.0,12306,60
BR_2849,2025-04,South,3898953,1,Low,29.9,11843,72
BR_2850,2024-04,North,5072692,0,Mid,10.8,9610,40
BR_2850,2025-04,South,4968452,0,Mid,10.2,9425,120
BR_2851,2024-04,North,4822023,0,Low,10.1,15137,58
BR_2851,2025-04,West,4882366,0,Low,26.0,17353,91
BR_2852,2024-04,East,5056777,1,High,19.5,15484,116
BR_2852,2025-04,South,4922031,1,High,13.8,15465,110
BR_2853,2024-04,East,4508512,0,Mid,26.2,11543,34
BR_2853,2025-04,North,4805772,0,Mid,27.7,10581,29
BR_2854,2024-04,North,4671786,1,High,17.3,17377,82
BR_2854,2025-04,South,4952239,1,High,20.9,12524,33
BR_2855,2024-04,North,4746875,1,High,24.7,9505,48
BR_2855,2025-04,South,4621759,1,High,18.6,15505,68
BR_2856,2024-04,East,4600282,0,High,28.8,11130,104
BR_2856,2025-04,West,4775647,0,High,14.3,9376,95
BR_2857,2024-04,West,4972960,1,Low,16.3,13076,17
BR_2857,2025-04,North,3428530,1,Low,26.5,11859,118
BR_2858,2024-04,East,4758961,1,Mid,15.1,14585,36
BR_2858,2025-04,West,4775942,1,Mid,24.3,12306,69
BR_2859,2024-04,South,4903882,0,Mid,29.3,10223,40
BR_2859,2025-04,North,4744988,0,Mid,24.5,12491,23
BR_2860,2024-04,East,4567572,1,Mid,21.3,15270,72
BR_2860,2025-04,South,4629171,1,Mid,18.1,11283,19
BR_2861,2024-04,East,4791031,0,High,29.2,11112,64
BR_2861,2025-04,West,4703121,0,High,23.1,17926,78
BR_2862,2024-04,West,4511973,0,Low,24.7,10966,97
BR_2862,2025-04,East,4932036,0,Low,16.8,16420,14
BR_2863,2024-04,East,4667134,0,Mid,11.7,15047,22
BR_2863,2025-04,West,4905842,0,Mid,10.6,12151,89
BR_2864,2024-04,North,5058694,0,Mid,12.0,15919,16
BR_2864,2025-04,East,4639096,0,Mid,20.0,10869,8
BR_2865,2024-04,East,4788651,1,Mid,13.1,15422,50
BR_2865,2025-04,East,4771133,1,Mid,10.3,13100,25
BR_2866,2024-04,East,4743227,1,High,27.2,10812,61
BR_2866,2025-04,North,4925040,1,High,29.9,9583,120
BR_2867,2024-04,East,4584554,1,High,23.4,13221,61
BR_2867,2025-04,North,4827408,1,High,17.2,16268,38
BR_2868,2024-04,East,4820240,0,Mid,18.9,15532,84
BR_2868,2025-04,East,4848849,0,Mid,22.8,17767,90
BR_2869,2024-04,East,4870179,1,Mid,18.2,17998,14
BR_2869,2025-04,North,4694354,1,Mid,28.3,10403,94
BR_2870,2024-04,East,4836945,1,High,25.1,14669,35
BR_2870,2025-04,West,5081977,1,High,24.3,10001,28
BR_2871,2024-04,East,4926456,1,Mid,10.1,16114,37
BR_2871,2025-04,North,5019314,1,Mid,16.4,15934,98
BR_2872,2024-04,North,4671632,0,Mid,21.0,13706,52
BR_2872,2025-04,North,4501810,0,Mid,15.0,10635,92
BR_2873,2024-04,North,4893917,0,Mid,17.2,16013,46
BR_2873,2025-04,North,4733376,0,Mid,24.3,9587,44
BR_2874,2024-04,South,4823306,0,Low,13.0,16705,11
BR_2874,2025-04,North,4825593,0,Low,14.4,10604,8
BR_2875,2024-04,West,5057792,0,Low,19.4,16196,118
BR_2875,2025-04,East,4774258,0,Low,21.0,11649,40
BR_2876,2024-04,South,5130211,1,Mid,22.1,10200,105
BR_2876,2025-04,West,4589127,1,Mid,14.1,16108,74
BR_2877,2024-04,East,4963603,1,High,25.1,12917,86
BR_2877,2025-04,North,5004245,1,High,19.4,15752,70
BR_2878,2024-04,East,5099895,0,Mid,17.1,13401,48
BR_2878,2025-04,East,4779625,0,Mid,11.0,14166,6
BR_2879,2024-04,East,5156318,0,Mid,16.5,9588,96
BR_2879,2025-04,North,5069405,0,Mid,11.9,14931,54
BR_2880,2024-04,North,4538816,0,High,15.5,16657,75
BR_2880,2025-04,North,4547691,0,High,25.2,12632,68
BR_2881,2024-04,East,4780626,0,High,27.4,13479,23
BR_2881,2025-04,East,4813090,0,High,25.0,10755,9
BR_2882,2024-04,South,4696180,1,Mid,27.5,14327,73
BR_2882,2025-04,South,4727298,1,Mid,14.7,15625,72
BR_2883,2024-04,East,4995412,1,High,27.0,10333,65
BR_2883,2025-04,North,4660464,1,High,24.1,15129,28
BR_2884,2024-04,East,4827712,0,High,19.7,13456,83
BR_2884,2025-04,East,4869265,0,High,22.3,14668,31
BR_2885,2024-04,North,4589002,1,Low,14.0,16062,78
BR_2885,2025-04,West,3477547,1,Low,28.3,15209,51
BR_2886,2024-04,East,4836947,0,High,19.9,12857,28
BR_2886,2025-04,South,4888381,0,High,25.7,17826,100
BR_2887,2024-04,South,4756412,0,Low,29.8,9140,24
BR_2887,2025-04,East,5199121,0,Low,25.7,16808,83
BR_2888,2024-04,East,5043506,0,Low,22.2,16280,66
BR_2888,2025-04,East,4529743,0,Low,27.3,12698,27
BR_2889,2024-04,East,4847888,1,Low,12.2,12860,98
BR_2889,2025-04,East,3611809,1,Low,13.2,16850,7
BR_2890,2024-04,South,4919187,0,Mid,15.1,17950,87
BR_2890,2025-04,North,4661643,0,Mid,11.7,13153,109
BR_2891,2024-04,North,4541168,0,Low,22.9,17201,76
BR_2891,2025-04,West,4937533,0,Low,28.4,13503,21
BR_2892,2024-04,East,5183430,1,Low,15.3,9404,111
BR_2892,2025-04,West,3758519,1,Low,10.8,13725,17
BR_2893,2024-04,West,4983070,0,High,20.7,11194,42
BR_2893,2025-04,North,4585957,0,High,21.6,14327,77
BR_2894,2024-04,East,4774555,1,High,24.4,15665,105
BR_2894,2025-04,East,5187533,1,High,22.7,15467,96
BR_2895,2024-04,West,4683198,1,Mid,13.6,16816,30
BR_2895,2025-04,West,5068958,1,Mid,11.4,9981,105
BR_2896,2024-04,West,5000804,1,Mid,24.9,16757,67
BR_2896,2025-04,South,5019983,1,Mid,20.4,12538,69
BR_2897,2024-04,West,4809930,1,Mid,24.2,12420,96
BR_2897,2025-04,West,4910421,1,Mid,10.8,9873,66
BR_2898,2024-04,South,4587023,1,Mid,16.6,17976,100
BR_2898,2025-04,North,4590435,1,Mid,21.7,11613,20
BR_2899,2024-04,East,4983812,1,Mid,28.6,15887,117
BR_2899,2025-04,North,4551322,1,Mid,15.8,15510,18
BR_2900,2024-04,South,5118483,1,Mid,25.6,11212,89
BR_2900,2025-04,North,4616623,1,Mid,11.0,13977,6
BR_2901,2024-04,West,4765469,1,Mid,21.6,10664,13
BR_2901,2025-04,West,5096496,1,Mid,16.8,14314,104
BR_2902,2024-04,West,4992912,0,High,13.6,13060,26
BR_2902,2025-04,West,4778429,0,High,13.2,12844,34
BR_2903,2024-04,East,5135923,1,Mid,17.0,10128,49
BR_2903,2025-04,West,4780168,1,Mid,21.0,16885,35
BR_2904,2024-04,South,4509040,0,Mid,11.6,16666,58
BR_2904,2025-04,South,5086674,0,Mid,29.1,15852,43
BR_2905,2024-04,West,4503025,1,High,30.0,17467,67
BR_2905,2025-04,West,4954600,1,High,11.6,17468,107
BR_2906,2024-04,North,5120457,1,High,15.1,13878,20
BR_2906,2025-04,North,5195437,1,High,24.8,15402,76
BR_2907,2024-04,South,4713067,1,High,25.4,17007,110
BR_2907,2025-04,South,4653355,1,High,20.6,11132,56
BR_2908,2024-04,East,4501041,1,Mid,28.2,17931,63
BR_2908,2025-04,West,4709769,1,Mid,21.9,17433,107
BR_2909,2024-04,West,5112628,0,Low,29.5,11982,6
BR_2909,2025-04,West,4692998,0,Low,29.8,13288,20
BR_2910,2024-04,North,5129712,1,Low,16.1,13976,61
BR_2910,2025-04,South,4028518,1,Low,18.2,12908,115
BR_2911,2024-04,East,4718963,0,Low,26.5,17563,83
BR_2911,2025-04,West,4559779,0,Low,11.2,16603,74
BR_2912,2024-04,North,5043931,0,High,29.8,14748,78
BR_2912,2025-04,East,4692643,0,High,24.8,15166,56
BR_2913,2024-04,North,4779291,0,High,28.3,13226,58
BR_2913,2025-04,West,5045450,0,High,11.6,15147,87
BR_2914,2024-04,East,4566531,0,High,21.3,13191,77
BR_2914,2025-04,West,5000344,0,High,20.9,14082,47
BR_2915,2024-04,North,4703594,0,Low,29.0,16074,103
BR_2915,2025-04,West,4830560,0,Low,28.5,13594,48
BR_2916,2024-04,South,5188039,0,High,29.0,9776,96
BR_2916,2025-04,South,5103647,0,High,16.7,16063,96
BR_2917,2024-04,East,4658520,0,Mid,29.0,17086,54
BR_2917,2025-04,South,5040146,0,Mid,12.0,9170,81
BR_2918,2024-04,South,4683286,0,Mid,23.0,17901,85
BR_2918,2025-04,South,4951913,0,Mid,20.1,15803,97
BR_2919,2024-04,East,4853050,0,Mid,16.0,10157,77
BR_2919,2025-04,South,4957992,0,Mid,25.8,16404,98
